# Blockpost room-protocol capture, started 2026-08-23 02:50:26
# tx: <ms> tx hdr=0xNN op=0xNN <name> : <fields>    rx: <ms> rx len=N <hex>

13225,4 ==== CAPTURE ON ====
13230,2 # net: TcpClient.Connected = True
23452,8 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 22,983 1 61,15 0,45 65,1 b4 i297659934
23500,1 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 23,183 1 60,675 0,45 51,6 b4 i297659982
23552,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 23,477 1 60,263 0,45 36,3 b4 i297660033
23604,5 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 23,854 1 59,935 0,45 22,05 b4 i297660086
23659,9 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 24,286 1 59,802 4,041 342,717 b4 i297660141
23666,6 tx hdr=0xF5 op=0x06 int3/6 : s16 s1 s81
23666,7 tx hdr=0xF5 op=0x04 HIT_REPORT(pos,seq,hits[]) :
23700,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 24,752 1 59,786 3,875 342,598 b4 i297660181
23752,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 25,235 1 59,847 3,949 341,048 b4 i297660233
23783,5 tx hdr=0xF5 op=0x04 HIT_REPORT(pos,seq,hits[]) : 24,959 3,38 59,813 i297660265 b0 b1 19,05 2,263 77,494
23800,1 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 25,728 1 59,958 3,807 339,848 b4 i297660282
23858,5 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 26,224 1 60,106 4,009 338,14 b4 i297660340
